section,size,addr,symbol,file,kind,classification
.text,36,0x2000fee8,.text,libgcc.a(_udivsi3.o),RAM-code(text),lib-in-RAM (relocatable to FLASH if not hot)
.text,44,0x2000ff0c,.text,libgcc.a(_divsi3.o),RAM-code(text),lib-in-RAM (relocatable to FLASH if not hot)
.text,4,0x2000ff38,.text,libgcc.a(_dvmd_tls.o),RAM-code(text),lib-in-RAM (relocatable to FLASH if not hot)
.text,24,0x2000ff3c,.text,libgcc.a(_lshrdi3.o),RAM-code(text),lib-in-RAM (relocatable to FLASH if not hot)
.text,28,0x2000ff54,.text,libgcc.a(_ashrdi3.o),RAM-code(text),lib-in-RAM (relocatable to FLASH if not hot)
.text,24,0x2000ff70,.text,libgcc.a(_ashldi3.o),RAM-code(text),lib-in-RAM (relocatable to FLASH if not hot)
.text,888,0x2000ff88,.text,libgcc.a(_arm_addsubdf3.o),RAM-code(text),lib-in-RAM (relocatable to FLASH if not hot)
.text,540,0x20010300,.text,libgcc.a(_arm_addsubsf3.o),RAM-code(text),lib-in-RAM (relocatable to FLASH if not hot)
.text,672,0x2001051c,.text,libgcc.a(_arm_muldivsf3.o),RAM-code(text),lib-in-RAM (relocatable to FLASH if not hot)
.text,236,0x200107bc,.text,libgcc.a(_arm_cmpsf2.o),RAM-code(text),lib-in-RAM (relocatable to FLASH if not hot)
.text,44,0x200108a8,.text,libgcc.a(_arm_unordsf2.o),RAM-code(text),lib-in-RAM (relocatable to FLASH if not hot)
.text,76,0x200108d4,.text,libgcc.a(_arm_fixsfsi.o),RAM-code(text),lib-in-RAM (relocatable to FLASH if not hot)
.text,64,0x20010920,.text,libgcc.a(_arm_fixunssfsi.o),RAM-code(text),lib-in-RAM (relocatable to FLASH if not hot)
.text,8,0x20010960,.text,libgcc.a(_clzsi2.o),RAM-code(text),lib-in-RAM (relocatable to FLASH if not hot)
.text,20,0x20010968,.text,libgcc.a(_ctzsi2.o),RAM-code(text),lib-in-RAM (relocatable to FLASH if not hot)
.text,32,0x2001097c,.text,libgcc.a(_aeabi_lcmp.o),RAM-code(text),lib-in-RAM (relocatable to FLASH if not hot)
.text,160,0x2001099c,.text,libgcc.a(_aeabi_ldivmod.o),RAM-code(text),lib-in-RAM (relocatable to FLASH if not hot)
.text,48,0x20010a3c,.text,libgcc.a(_aeabi_uldivmod.o),RAM-code(text),lib-in-RAM (relocatable to FLASH if not hot)
.text.__muldi3,16,0x20010a6c,__muldi3,libgcc.a(_muldi3.o),RAM-code(text),lib-in-RAM (relocatable to FLASH if not hot)
.text.__popcountsi2,40,0x20010a7c,__popcountsi2,libgcc.a(_popcountsi2.o),RAM-code(text),lib-in-RAM (relocatable to FLASH if not hot)
.text.__powisf2,104,0x20010aa4,__powisf2,libgcc.a(_powisf2.o),RAM-code(text),lib-in-RAM (relocatable to FLASH if not hot)
.text.__powidf2,156,0x20010b0c,__powidf2,libgcc.a(_powidf2.o),RAM-code(text),lib-in-RAM (relocatable to FLASH if not hot)
.text.__mulsc3,748,0x20010ba8,__mulsc3,libgcc.a(_mulsc3.o),RAM-code(text),runtime ABI (exported in DOS API; movable to FLASH)
.text.__muldc3,1428,0x20010e94,__muldc3,libgcc.a(_muldc3.o),RAM-code(text),runtime ABI (exported in DOS API; movable to FLASH)
.text.__divsc3,772,0x20011428,__divsc3,libgcc.a(_divsc3.o),RAM-code(text),runtime ABI (exported in DOS API; movable to FLASH)
.text.__divdc3,2096,0x2001172c,__divdc3,libgcc.a(_divdc3.o),RAM-code(text),runtime ABI (exported in DOS API; movable to FLASH)
.text.__udivmoddi4,844,0x20011f5c,__udivmoddi4,libgcc.a(_udivmoddi4.o),RAM-code(text),lib-in-RAM (relocatable to FLASH if not hot)
.text.selfrel_offset31,20,0x200122a8,selfrel_offset31,libgcc.a(unwind-arm.o),RAM-code(text),DEAD (EH/unwind - never runs)
.text.search_EIT_table,92,0x200122bc,search_EIT_table,libgcc.a(unwind-arm.o),RAM-code(text),DEAD (EH/unwind - never runs)
.text.__gnu_unwind_get_pr_addr,40,0x20012318,__gnu_unwind_get_pr_addr,libgcc.a(unwind-arm.o),RAM-code(text),DEAD (EH/unwind - never runs)
.text.get_eit_entry,152,0x20012340,get_eit_entry,libgcc.a(unwind-arm.o),RAM-code(text),DEAD (EH/unwind - never runs)
.text.restore_non_core_regs,88,0x200123d8,restore_non_core_regs,libgcc.a(unwind-arm.o),RAM-code(text),DEAD (EH/unwind - never runs)
.text._Unwind_decode_typeinfo_ptr.constprop.0,12,0x20012430,_Unwind_decode_typeinfo_ptr.constprop.0,libgcc.a(unwind-arm.o),RAM-code(text),DEAD (EH/unwind - never runs)
.text._Unwind_DebugHook,4,0x2001243c,_Unwind_DebugHook,libgcc.a(unwind-arm.o),RAM-code(text),DEAD (EH/unwind - never runs)
.text.unwind_phase2,64,0x20012440,unwind_phase2,libgcc.a(unwind-arm.o),RAM-code(text),DEAD (EH/unwind - never runs)
.text.unwind_phase2_forced,220,0x20012480,unwind_phase2_forced,libgcc.a(unwind-arm.o),RAM-code(text),DEAD (EH/unwind - never runs)
.text.__gnu_Unwind_RaiseException,108,0x2001255c,__gnu_Unwind_RaiseException,libgcc.a(unwind-arm.o),RAM-code(text),DEAD (EH/unwind - never runs)
.text.__gnu_Unwind_ForcedUnwind,20,0x200125c8,__gnu_Unwind_ForcedUnwind,libgcc.a(unwind-arm.o),RAM-code(text),DEAD (EH/unwind - never runs)
.text.__gnu_Unwind_Resume,68,0x200125dc,__gnu_Unwind_Resume,libgcc.a(unwind-arm.o),RAM-code(text),DEAD (EH/unwind - never runs)
.text.__gnu_Unwind_Resume_or_Rethrow,32,0x20012620,__gnu_Unwind_Resume_or_Rethrow,libgcc.a(unwind-arm.o),RAM-code(text),DEAD (EH/unwind - never runs)
.text._Unwind_Complete,4,0x20012640,_Unwind_Complete,libgcc.a(unwind-arm.o),RAM-code(text),DEAD (EH/unwind - never runs)
.text._Unwind_DeleteException,12,0x20012644,_Unwind_DeleteException,libgcc.a(unwind-arm.o),RAM-code(text),DEAD (EH/unwind - never runs)
.text._Unwind_VRS_Get,52,0x20012650,_Unwind_VRS_Get,libgcc.a(unwind-arm.o),RAM-code(text),DEAD (EH/unwind - never runs)
.text._Unwind_GetGR,24,0x20012684,_Unwind_GetGR,libgcc.a(unwind-arm.o),RAM-code(text),DEAD (EH/unwind - never runs)
.text._Unwind_VRS_Set,52,0x2001269c,_Unwind_VRS_Set,libgcc.a(unwind-arm.o),RAM-code(text),DEAD (EH/unwind - never runs)
.text._Unwind_SetGR,24,0x200126d0,_Unwind_SetGR,libgcc.a(unwind-arm.o),RAM-code(text),DEAD (EH/unwind - never runs)
.text.__gnu_Unwind_Backtrace,136,0x200126e8,__gnu_Unwind_Backtrace,libgcc.a(unwind-arm.o),RAM-code(text),DEAD (EH/unwind - never runs)
.text.__gnu_unwind_pr_common,684,0x20012770,__gnu_unwind_pr_common,libgcc.a(unwind-arm.o),RAM-code(text),DEAD (EH/unwind - never runs)
.text.__aeabi_unwind_cpp_pr0,8,0x20012a1c,__aeabi_unwind_cpp_pr0,libgcc.a(unwind-arm.o),RAM-code(text),DEAD (EH/unwind - never runs)
.text.__aeabi_unwind_cpp_pr1,8,0x20012a24,__aeabi_unwind_cpp_pr1,libgcc.a(unwind-arm.o),RAM-code(text),DEAD (EH/unwind - never runs)
.text.__aeabi_unwind_cpp_pr2,8,0x20012a2c,__aeabi_unwind_cpp_pr2,libgcc.a(unwind-arm.o),RAM-code(text),DEAD (EH/unwind - never runs)
.text._Unwind_VRS_Pop,776,0x20012a34,_Unwind_VRS_Pop,libgcc.a(unwind-arm.o),RAM-code(text),DEAD (EH/unwind - never runs)
.text,428,0x20012d3c,.text,libgcc.a(libunwind.o),RAM-code(text),DEAD (EH/unwind - never runs)
.text.next_unwind_byte,60,0x20012ee8,next_unwind_byte,libgcc.a(pr-support.o),RAM-code(text),DEAD (EH/unwind - never runs)
.text._Unwind_GetGR.constprop.0,24,0x20012f24,_Unwind_GetGR.constprop.0,libgcc.a(pr-support.o),RAM-code(text),DEAD (EH/unwind - never runs)
.text.unwind_UCB_from_context,4,0x20012f3c,unwind_UCB_from_context,libgcc.a(pr-support.o),RAM-code(text),DEAD (EH/unwind - never runs)
.text.__gnu_unwind_execute,776,0x20012f40,__gnu_unwind_execute,libgcc.a(pr-support.o),RAM-code(text),DEAD (EH/unwind - never runs)
.text.__gnu_unwind_frame,44,0x20013248,__gnu_unwind_frame,libgcc.a(pr-support.o),RAM-code(text),DEAD (EH/unwind - never runs)
.text._Unwind_GetRegionStart,12,0x20013274,_Unwind_GetRegionStart,libgcc.a(pr-support.o),RAM-code(text),DEAD (EH/unwind - never runs)
.text._Unwind_GetLanguageSpecificData,20,0x20013280,_Unwind_GetLanguageSpecificData,libgcc.a(pr-support.o),RAM-code(text),DEAD (EH/unwind - never runs)
.text.unlikely._Unwind_GetDataRelBase,6,0x20013294,unlikely._Unwind_GetDataRelBase,libgcc.a(pr-support.o),RAM-code(text),DEAD (EH/unwind - never runs)
.text.unlikely._Unwind_GetTextRelBase,6,0x2001329a,unlikely._Unwind_GetTextRelBase,libgcc.a(pr-support.o),RAM-code(text),DEAD (EH/unwind - never runs)
.text.unlikely._Unwind_GetTextRelBase.__stub,448,0x200132a0,unlikely._Unwind_GetTextRelBase.__stub,linker stubs,RAM-code(text),DEAD (EH/unwind - never runs)
.rodata.TWO52,16,0x20013460,TWO52,libm.a(libm_a-s_rint.o),RAM-rodata,lib-in-RAM (relocatable to FLASH if not hot)
.data.__dso_handle,4,0x20013470,__dso_handle,crtbegin.o,RAM-data,runtime
.data.boot_time_offset,4,0x20013474,boot_time_offset,platform_rp2350.c.obj,RAM-data,runtime
.data.cfg_voltage,4,0x20013478,cfg_voltage,config_save.c.obj,RAM-data,runtime
.data.cfg_volume,4,0x2001347c,cfg_volume,config_save.c.obj,RAM-data,runtime
.data.cfg_flash_freq,4,0x20013480,cfg_flash_freq,config_save.c.obj,RAM-data,runtime
.data.cfg_psram_freq,4,0x20013484,cfg_psram_freq,config_save.c.obj,RAM-data,runtime
.data.cfg_cpu_freq,4,0x20013488,cfg_cpu_freq,config_save.c.obj,RAM-data,runtime
.data.cfg_mouse,4,0x2001348c,cfg_mouse,config_save.c.obj,RAM-data,runtime
.data.cfg_mpu401,4,0x20013490,cfg_mpu401,config_save.c.obj,RAM-data,runtime
.data.cfg_covox,4,0x20013494,cfg_covox,config_save.c.obj,RAM-data,runtime
.data.cfg_soundblaster,4,0x20013498,cfg_soundblaster,config_save.c.obj,RAM-data,runtime
.data.cfg_adlib,4,0x2001349c,cfg_adlib,config_save.c.obj,RAM-data,runtime
.data.cfg_pcspeaker,4,0x200134a0,cfg_pcspeaker,config_save.c.obj,RAM-data,runtime
.data.cfg_redirector,4,0x200134a4,cfg_redirector,config_save.c.obj,RAM-data,runtime
.data.cfg_cpu_gen,4,0x200134a8,cfg_cpu_gen,config_save.c.obj,RAM-data,runtime
.data.cfg_mem_mb,4,0x200134ac,cfg_mem_mb,config_save.c.obj,RAM-data,runtime
.data.pte_lookup,128,0x200134b0,pte_lookup,i386.c.obj,RAM-data,runtime
.data.phys_mem_size,4,0x20013530,phys_mem_size,pc.c.obj,RAM-data,runtime
.data.noise_seed,4,0x20013534,noise_seed,pc.c.obj,RAM-data,runtime
.data.midi_channels,128,0x20013538,midi_channels,pc.c.obj,RAM-data,runtime
.data.mpu_status,1,0x200135b8,mpu_status,pc.c.obj,RAM-data,runtime
.data.params,24,0x200135bc,params,bios_00h.c.obj,RAM-data,runtime
.data.params,24,0x200135d4,params,bios_09h.c.obj,RAM-data,runtime
.data.old.2,4,0x200135ec,old.2,bios_15h.c.obj,RAM-data,runtime
.data.params,24,0x200135f0,params,bios_18h.c.obj,RAM-data,runtime
.data.params,24,0x20013608,params,bios_19h.c.obj,RAM-data,runtime
.data.root,24,0x20013620,root,bios_FFh.c.obj,RAM-data,runtime
.data.last_int_call,4,0x20013638,last_int_call,bios_intcall.c.obj,RAM-data,runtime
.data.LBA_WRITE_VERIFY,2,0x2001363c,LBA_WRITE_VERIFY,initdisk.c.obj,RAM-data,runtime
.data.table.2,144,0x20013640,table.2,config.c.obj,RAM-data,init-only (FDOS DoConfig/DoInstall; reclaimable via overlay)
.data.digits.3,17,0x200136d0,digits.3,config.c.obj,RAM-data,init-only (FDOS DoConfig/DoInstall; reclaimable via overlay)
.data.near_mcb.4,16,0x200136e4,near_mcb.4,config.c.obj,RAM-data,init-only (FDOS DoConfig/DoInstall; reclaimable via overlay)
.data.specificCountriesSupported,351,0x200136f4,specificCountriesSupported,config.c.obj,RAM-data,init-only (FDOS DoConfig/DoInstall; reclaimable via overlay)
.data.commands,342,0x20013854,commands,config.c.obj,RAM-data,init-only (FDOS DoConfig/DoInstall; reclaimable via overlay)
.data.nlsCountryInfoHardcoded,31,0x200139ac,nlsCountryInfoHardcoded,config.c.obj,RAM-data,init-only (FDOS DoConfig/DoInstall; reclaimable via overlay)
.data.Config,28,0x200139d0,Config,config.c.obj,RAM-data,init-only (FDOS DoConfig/DoInstall; reclaimable via overlay)
.data.MenuTimeout,4,0x200139ec,MenuTimeout,config.c.obj,RAM-data,init-only (FDOS DoConfig/DoInstall; reclaimable via overlay)
.data.MenuColor,4,0x200139f0,MenuColor,config.c.obj,RAM-data,init-only (FDOS DoConfig/DoInstall; reclaimable via overlay)
.data.template_string,29,0x200139f4,template_string,dsk.c.obj,RAM-data,runtime
.data.InitKernelConfig,24,0x20013a14,InitKernelConfig,kernel.c.obj,RAM-data,runtime
.data.kbdType,1,0x20013a2c,kbdType,kernel.c.obj,RAM-data,runtime
.data.x86_PSP,4,0x20013a30,x86_PSP,kernel.c.obj,RAM-data,runtime
.data.params.0,24,0x20013a34,params.0,fdos_2fh.c.obj,RAM-data,runtime
.data.umb_blocks_count,4,0x20013a4c,umb_blocks_count,fdos_2fh.c.obj,RAM-data,runtime
.data.umb_blocks,4,0x20013a50,umb_blocks,fdos_2fh.c.obj,RAM-data,runtime
.data.umb_guest,256,0x20013a54,umb_guest,fdos_2fh.c.obj,RAM-data,runtime
.data.umb_native,512,0x20013b54,umb_native,fdos_2fh.c.obj,RAM-data,runtime
.data.fdd,1232,0x20013d58,fdd,disk.c.obj,RAM-data,runtime
.data._ZL19wav_or_table_lookup,32,0x20014228,_ZL19wav_or_table_lookup,slot_render.cpp.obj,RAM-data,runtime
.data._ZL13pm_table_half,64,0x20014248,_ZL13pm_table_half,slot_render.cpp.obj,RAM-data,runtime
.data._ZL8pm_table,64,0x20014288,_ZL8pm_table,slot_render.cpp.obj,RAM-data,runtime
.data._ZL14eg_step_table4,8,0x200142c8,_ZL14eg_step_table4,slot_render.cpp.obj,RAM-data,runtime
.data._ZL14eg_step_tables,32,0x200142d0,_ZL14eg_step_tables,slot_render.cpp.obj,RAM-data,runtime
.data._ZL20eg_step_tables_fast2,32,0x200142f0,_ZL20eg_step_tables_fast2,slot_render.cpp.obj,RAM-data,runtime
.data._ZL19eg_step_tables_fast,32,0x20014310,_ZL19eg_step_tables_fast,slot_render.cpp.obj,RAM-data,runtime
.data.gp_dur_y,4,0x20014330,gp_dur_y,gameport.c.obj,RAM-data,runtime
.data.gp_dur_x,4,0x20014334,gp_dur_x,gameport.c.obj,RAM-data,runtime
.data.striped_spin_lock_num,1,0x20014338,striped_spin_lock_num,sync.c.obj,RAM-data,runtime
.data,72,0x2001433c,.data,irq_handler_chain.S.obj,RAM-data,runtime
.data.default_alarm_pool,24,0x20014384,default_alarm_pool,time.c.obj,RAM-data,runtime
.data._usbh_qdef,28,0x2001439c,_usbh_qdef,usbh.c.obj,RAM-data,runtime
.data._usbh_controller,1,0x200143b8,_usbh_controller,usbh.c.obj,RAM-data,runtime
.data._usbd_qdef,28,0x200143bc,_usbd_qdef,usbd.c.obj,RAM-data,runtime
.data._usbd_rhport,1,0x200143d8,_usbd_rhport,usbd.c.obj,RAM-data,runtime
.data.pio_spi,12,0x200143dc,pio_spi,libsdcard.a(sdcard.c.obj),RAM-data,runtime
.data.Stat,1,0x200143e8,Stat,libsdcard.a(sdcard.c.obj),RAM-data,runtime
.data.mouse_packet_size,1,0x200143e9,mouse_packet_size,libps2_driver.a(ps2.c.obj),RAM-data,runtime
.data.cga_colors.1,48,0x200143ec,cga_colors.1,libvideo_driver.a(hdmi.c.obj),RAM-data,runtime
.data.pio_program_instructions_conv_HDMI,8,0x2001441c,pio_program_instructions_conv_HDMI,libvideo_driver.a(hdmi.c.obj),RAM-data,runtime
.data.SM_conv,4,0x20014424,SM_conv,libvideo_driver.a(hdmi.c.obj),RAM-data,runtime
.data.SM_video,4,0x20014428,SM_video,libvideo_driver.a(hdmi.c.obj),RAM-data,runtime
.data.last_vga_mode.0,4,0x2001442c,last_vga_mode.0,libvideo_driver.a(vga_hw.c.obj),RAM-data,runtime
.data.prev_line.2,4,0x20014430,prev_line.2,libvideo_driver.a(vga_hw.c.obj),RAM-data,runtime
.data.text_stride_cells,4,0x20014434,text_stride_cells,libvideo_driver.a(vga_hw.c.obj),RAM-data,runtime
.data.text_cols,4,0x20014438,text_cols,libvideo_driver.a(vga_hw.c.obj),RAM-data,runtime
.data.frame_line_compare,4,0x2001443c,frame_line_compare,libvideo_driver.a(vga_hw.c.obj),RAM-data,runtime
.data.cursor_blink_state,4,0x20014440,cursor_blink_state,libvideo_driver.a(vga_hw.c.obj),RAM-data,runtime
.data.cursor_end,4,0x20014444,cursor_end,libvideo_driver.a(vga_hw.c.obj),RAM-data,runtime
.data.gfx_sram_stride,4,0x20014448,gfx_sram_stride,libvideo_driver.a(vga_hw.c.obj),RAM-data,runtime
.data.gfx_line_offset,4,0x2001444c,gfx_line_offset,libvideo_driver.a(vga_hw.c.obj),RAM-data,runtime
.data.gfx_height,4,0x20014450,gfx_height,libvideo_driver.a(vga_hw.c.obj),RAM-data,runtime
.data.gfx_width,4,0x20014454,gfx_width,libvideo_driver.a(vga_hw.c.obj),RAM-data,runtime
.data.gfx_submode,4,0x20014458,gfx_submode,libvideo_driver.a(vga_hw.c.obj),RAM-data,runtime
.data.current_mode,4,0x2001445c,current_mode,libvideo_driver.a(vga_hw.c.obj),RAM-data,runtime
.data.dma_ctrl_chan,4,0x20014460,dma_ctrl_chan,libvideo_driver.a(vga_hw.c.obj),RAM-data,runtime
.data.dma_data_chan,4,0x20014464,dma_data_chan,libvideo_driver.a(vga_hw.c.obj),RAM-data,runtime
.data.active_end,4,0x20014468,active_end,libvideo_driver.a(vga_hw.c.obj),RAM-data,runtime
.data.active_start,4,0x2001446c,active_start,libvideo_driver.a(vga_hw.c.obj),RAM-data,runtime
.data,4096,0x20014470,.data,libvideo_driver.a(font8x16.c.obj),RAM-data,runtime
.data.sm,1,0x20015470,sm,libnespad.a(nespad.c.obj),RAM-data,runtime
.data._ZN10__cxxabiv120__unexpected_handlerE,4,0x20015474,_ZN10__cxxabiv120__unexpected_handlerE,libstdc++.a(eh_unex_handler.o),RAM-data,runtime
.data._ZN12_GLOBAL__N_124system_category_instanceE,4,0x20015478,_ZN12_GLOBAL__N_124system_category_instanceE,libstdc++.a(system_error.o),RAM-data,runtime
.data._ZN12_GLOBAL__N_125generic_category_instanceE,4,0x2001547c,_ZN12_GLOBAL__N_125generic_category_instanceE,libstdc++.a(system_error.o),RAM-data,runtime
.data._ZN10__cxxabiv119__terminate_handlerE,4,0x20015480,_ZN10__cxxabiv119__terminate_handlerE,libstdc++.a(eh_term_handler.o),RAM-data,runtime
.data.__malloc_sbrk_base,4,0x20015484,__malloc_sbrk_base,libg.a(libc_a-mallocr.o),RAM-data,runtime
.data.__malloc_trim_threshold,4,0x20015488,__malloc_trim_threshold,libg.a(libc_a-mallocr.o),RAM-data,runtime
.data.__malloc_av_,1032,0x20015490,__malloc_av_,libg.a(libc_a-mallocr.o),RAM-data,runtime
.data.__sglue,12,0x20015898,__sglue,libg.a(libc_a-findfp.o),RAM-data,runtime
.data._impure_ptr,4,0x200158a4,_impure_ptr,libg.a(libc_a-impure.o),RAM-data,runtime
.data._impure_data,320,0x200158a8,_impure_data,libg.a(libc_a-impure.o),RAM-data,runtime
.data.__atexit_recursive_mutex,4,0x200159e8,__atexit_recursive_mutex,libg.a(libc_a-__call_atexit.o),RAM-data,runtime
.data.environ,4,0x200159ec,environ,libg.a(libc_a-environ.o),RAM-data,runtime
.data.__global_locale,364,0x200159f0,__global_locale,libg.a(libc_a-locale.o),RAM-data,runtime
.mutex_array,8,0x20015b5c,.mutex_array,malloc.c.obj,RAM-data,runtime
.mutex_array,8,0x20015b64,.mutex_array,stdio.c.obj,RAM-data,runtime
.tm_clone_table,0,0x20015b6c,.tm_clone_table,crtbegin.o,RAM-data,runtime
.tm_clone_table,0,0x20015b6c,.tm_clone_table,crtend.o,RAM-data,runtime
.bss.conv_color,4896,0x20016000,conv_color,libvideo_driver.a(hdmi.c.obj),RAM-bss,runtime
.bss._ZL11event_queue,40,0x20017320,_ZL11event_queue,ps2kbd_wrapper.cpp.obj,RAM-bss,runtime
.bss._ZN12_GLOBAL__N_114emergency_poolE,16,0x20017348,_ZN12_GLOBAL__N_114emergency_poolE,libstdc++.a(eh_alloc.o),RAM-bss,runtime
.bss._hidh_itf,56,0x20017358,_hidh_itf,hid_host.c.obj,RAM-bss,runtime
.bss.ata,2464,0x20017390,ata,disk.c.obj,RAM-bss,runtime
.bss.config,88,0x20017d30,config,main.c.obj,RAM-bss,runtime
.bss.cpu_feature_warning_until_us,8,0x20017d88,cpu_feature_warning_until_us,main.c.obj,RAM-bss,runtime
.bss.default_alarm_pool_entries,384,0x20017d90,default_alarm_pool_entries,time.c.obj,RAM-bss,runtime
.bss.emb_handles,650,0x20017f10,emb_handles,fdos_2fh.c.obj,RAM-bss,runtime
.bss.ep_pool,512,0x200181a0,ep_pool,hcd_rp2040.c.obj,RAM-bss,runtime
.bss.find_fileinfo.0,288,0x200183a0,find_fileinfo.0,netredirect.c.obj,RAM-bss,runtime
.bss.find_handle.1,88,0x200184c0,find_handle.1,netredirect.c.obj,RAM-bss,runtime
.bss.fpu,104,0x20018518,fpu,fpu.c.obj,RAM-bss,runtime
.bss.handlers,1024,0x20018580,handlers,cpu.c.obj,RAM-bss,runtime
.bss.m,128,0x20018980,m,bios_33h.c.obj,RAM-bss,runtime
.bss.m_timer.1,24,0x20018a00,m_timer.1,main.c.obj,RAM-bss,runtime
.bss.open_files,128,0x20018a18,open_files,netredirect.c.obj,RAM-bss,runtime
.bss.pending_filename,224,0x20018a98,pending_filename,diskui.c.obj,RAM-bss,runtime
.bss.rks_table,512,0x20018b78,rks_table,emu8950.c.obj,RAM-bss,runtime
.bss.rtc_anchor_us,8,0x20018d78,rtc_anchor_us,misc.c.obj,RAM-bss,runtime
.bss.t_dss.1,8,0x20018d80,t_dss.1,libaudio_driver.a(audio.c.obj),RAM-bss,runtime
.bss.tone_volume,12,0x20018d88,tone_volume,sn76489.c.obj,RAM-bss,runtime
.bss.DirBuf,608,0x20018d94,DirBuf,libfatfs.a(ff.c.obj),RAM-bss,runtime
.bss.DontAskThisSingleCommand,4,0x20018ff4,DontAskThisSingleCommand,config.c.obj,RAM-bss,init-only (FDOS DoConfig/DoInstall; reclaimable via overlay)
.bss.ErrorAlreadyPrinted,128,0x20018ff8,ErrorAlreadyPrinted,config.c.obj,RAM-bss,init-only (FDOS DoConfig/DoInstall; reclaimable via overlay)
.bss.ExtLBAForce,4,0x20019078,ExtLBAForce,initdisk.c.obj,RAM-bss,runtime
.bss.FatFs,40,0x2001907c,FatFs,libfatfs.a(ff.c.obj),RAM-bss,runtime
.bss.InstallCommands,1320,0x200190a4,InstallCommands,config.c.obj,RAM-bss,init-only (FDOS DoConfig/DoInstall; reclaimable via overlay)
.bss.LfnBuf,512,0x200195cc,LfnBuf,libfatfs.a(ff.c.obj),RAM-bss,runtime
.bss.LoL,4,0x200197cc,LoL,kernel.c.obj,RAM-bss,runtime
.bss.MenuLine,4,0x200197d0,MenuLine,config.c.obj,RAM-bss,init-only (FDOS DoConfig/DoInstall; reclaimable via overlay)
.bss.MenuStruct,890,0x200197d4,MenuStruct,config.c.obj,RAM-bss,init-only (FDOS DoConfig/DoInstall; reclaimable via overlay)
.bss.Menus,4,0x20019b50,Menus,config.c.obj,RAM-bss,init-only (FDOS DoConfig/DoInstall; reclaimable via overlay)
.bss.UmbState,4,0x20019b54,UmbState,config.c.obj,RAM-bss,init-only (FDOS DoConfig/DoInstall; reclaimable via overlay)
.bss.XMSDriverAddress,4,0x20019b58,XMSDriverAddress,inithma.c.obj,RAM-bss,runtime
.bss._ZL14eg_step_table0,8,0x20019b5c,_ZL14eg_step_table0,slot_render.cpp.obj,RAM-bss,runtime
.bss._ZL3kbd,4,0x20019b64,_ZL3kbd,ps2kbd_wrapper.cpp.obj,RAM-bss,runtime
.bss._ZN12_GLOBAL__N_110eh_globalsE,12,0x20019b68,_ZN12_GLOBAL__N_110eh_globalsE,libstdc++.a(eh_globals.o),RAM-bss,runtime
.bss._ZNSs4_Rep20_S_empty_rep_storageE,16,0x20019b74,_ZNSs4_Rep20_S_empty_rep_storageE,libstdc++.a(cow-string-inst.o),RAM-bss,runtime
.bss.__atexit,4,0x20019b84,__atexit,libg.a(libc_a-__call_atexit.o),RAM-bss,runtime
.bss.__atexit0,400,0x20019b88,__atexit0,libg.a(libc_a-__atexit.o),RAM-bss,runtime
.bss.__lock___atexit_recursive_mutex,1,0x20019d18,__lock___atexit_recursive_mutex,libg.a(libc_a-lock.o),RAM-bss,runtime
.bss.__lock___env_recursive_mutex,1,0x20019d1c,__lock___env_recursive_mutex,libg.a(libc_a-lock.o),RAM-bss,runtime
.bss.__lock___malloc_recursive_mutex,1,0x20019d20,__lock___malloc_recursive_mutex,libg.a(libc_a-lock.o),RAM-bss,runtime
.bss.__lock___sfp_recursive_mutex,1,0x20019d24,__lock___sfp_recursive_mutex,libg.a(libc_a-lock.o),RAM-bss,runtime
.bss.__malloc_current_mallinfo,40,0x20019d28,__malloc_current_mallinfo,libg.a(libc_a-mallocr.o),RAM-bss,runtime
.bss.__malloc_max_sbrked_mem,4,0x20019d50,__malloc_max_sbrked_mem,libg.a(libc_a-mallocr.o),RAM-bss,runtime
.bss.__malloc_max_total_mem,4,0x20019d54,__malloc_max_total_mem,libg.a(libc_a-mallocr.o),RAM-bss,runtime
.bss.__malloc_top_pad,4,0x20019d58,__malloc_top_pad,libg.a(libc_a-mallocr.o),RAM-bss,runtime
.bss.__sf,312,0x20019d5c,__sf,libg.a(libc_a-findfp.o),RAM-bss,runtime
.bss.__stdio_exit_handler,4,0x20019e94,__stdio_exit_handler,libg.a(libc_a-findfp.o),RAM-bss,runtime
.bss._app_driver,4,0x20019e98,_app_driver,usbh.c.obj,RAM-bss,runtime
.bss._app_driver,4,0x20019e9c,_app_driver,usbd.c.obj,RAM-bss,runtime
.bss._ctrl_epbuf,64,0x20019ea0,_ctrl_epbuf,usbd_control.c.obj,RAM-bss,runtime
.bss._ctrl_xfer,16,0x20019ee0,_ctrl_xfer,usbh.c.obj,RAM-bss,runtime
.bss._ctrl_xfer,20,0x20019ef0,_ctrl_xfer,usbd_control.c.obj,RAM-bss,runtime
.bss._dev0,4,0x20019f04,_dev0,usbh.c.obj,RAM-bss,runtime
.bss._hidh_epbuf,512,0x20019f08,_hidh_epbuf,hid_host.c.obj,RAM-bss,runtime
.bss._hub_buffer,9,0x2001a108,_hub_buffer,hub.c.obj,RAM-bss,runtime
.bss._mscd_epbuf,512,0x2001a114,_mscd_epbuf,msc_device.c.obj,RAM-bss,runtime
.bss._mscd_itf,64,0x2001a314,_mscd_itf,msc_device.c.obj,RAM-bss,runtime
