section,size,addr,symbol,file,kind,classification
.bss._app_driver_count,1,0x2001f174,_app_driver_count,usbd.c.obj,RAM-bss,runtime
.bss._hidh_default_protocol,1,0x2001f175,_hidh_default_protocol,hid_host.c.obj,RAM-bss,runtime
.bss._sof_enable,1,0x2001f176,_sof_enable,dcd_rp2040.c.obj,RAM-bss,runtime
.bss._usbd_queued_setup,1,0x2001f177,_usbd_queued_setup,usbd.c.obj,RAM-bss,runtime
.bss.alt_key_pressed,1,0x2001f178,alt_key_pressed,main.c.obj,RAM-bss,runtime
.bss.cfg_changed,1,0x2001f179,cfg_changed,config_save.c.obj,RAM-bss,runtime
.bss.cfg_hw_changed,1,0x2001f17a,cfg_hw_changed,config_save.c.obj,RAM-bss,runtime
.bss.con_scan_code,1,0x2001f17b,con_scan_code,kernel.c.obj,RAM-bss,runtime
.bss.control.0,1,0x2001f17c,control.0,dss.c.obj,RAM-bss,runtime
.bss.ctrl_key_pressed,1,0x2001f17d,ctrl_key_pressed,main.c.obj,RAM-bss,runtime
.bss.dss_data,1,0x2001f17e,dss_data,dss.c.obj,RAM-bss,runtime
.bss.event_wait_armed,1,0x2001f17f,event_wait_armed,bios_15h.c.obj,RAM-bss,runtime
.bss.failed_count.0,1,0x2001f180,failed_count.0,usbh.c.obj,RAM-bss,runtime
.bss.fifo_count,1,0x2001f181,fifo_count,dss.c.obj,RAM-bss,runtime
.bss.fifo_head,1,0x2001f182,fifo_head,dss.c.obj,RAM-bss,runtime
.bss.fifo_tail,1,0x2001f183,fifo_tail,dss.c.obj,RAM-bss,runtime
.bss.find_is_ours.3,1,0x2001f184,find_is_ours.3,netredirect.c.obj,RAM-bss,runtime
.bss.frame_pixel_panning,1,0x2001f185,frame_pixel_panning,libvideo_driver.a(vga_hw.c.obj),RAM-bss,runtime
.bss.gp_buttons,1,0x2001f186,gp_buttons,gameport.c.obj,RAM-bss,runtime
.bss.gp_running,1,0x2001f187,gp_running,gameport.c.obj,RAM-bss,runtime
.bss.handler_installed.1,1,0x2001f188,handler_installed.1,fdos_2fh.c.obj,RAM-bss,runtime
.bss.held.1,1,0x2001f189,held.1,dss.c.obj,RAM-bss,runtime
.bss.initialized,1,0x2001f18a,initialized,main.c.obj,RAM-bss,runtime
.bss.irq_handler_chain_free_slot_head,1,0x2001f18b,irq_handler_chain_free_slot_head,irq.c.obj,RAM-bss,runtime
.bss.menu_state,1,0x2001f18c,menu_state,diskui.c.obj,RAM-bss,runtime
.bss.mode,1,0x2001f18d,mode,cpu.c.obj,RAM-bss,runtime
.bss.mouse_last_buttons,1,0x2001f18e,mouse_last_buttons,libps2_driver.a(ps2.c.obj),RAM-bss,runtime
.bss.mouse_packet_idx,1,0x2001f18f,mouse_packet_idx,libps2_driver.a(ps2.c.obj),RAM-bss,runtime
.bss.mouse_pio_initialized,1,0x2001f190,mouse_pio_initialized,libps2_driver.a(ps2.c.obj),RAM-bss,runtime
.bss.mouse_rx_head,1,0x2001f191,mouse_rx_head,libps2_driver.a(ps2.c.obj),RAM-bss,runtime
.bss.mouse_rx_tail,1,0x2001f192,mouse_rx_tail,libps2_driver.a(ps2.c.obj),RAM-bss,runtime
.bss.mouse_streaming,1,0x2001f193,mouse_streaming,libps2_driver.a(ps2.c.obj),RAM-bss,runtime
.bss.mpu_rx_data,1,0x2001f194,mpu_rx_data,pc.c.obj,RAM-bss,runtime
.bss.nestlev,1,0x2001f195,nestlev,cpu.c.obj,RAM-bss,runtime
.bss.oldcf,1,0x2001f196,oldcf,cpu.c.obj,RAM-bss,runtime
.bss.operandSizeOverride,1,0x2001f197,operandSizeOverride,cpu.c.obj,RAM-bss,runtime
.bss.osd_visible,1,0x2001f198,osd_visible,libvideo_driver.a(vga_osd.c.obj),RAM-bss,runtime
.bss.pad_initialized,1,0x2001f199,pad_initialized,libnespad.a(nespad.c.obj),RAM-bss,runtime
.bss.pending_ss_trap,1,0x2001f19a,pending_ss_trap,cpu.c.obj,RAM-bss,runtime
.bss.prev,1,0x2001f19b,prev,libaudio_driver.a(audio.c.obj),RAM-bss,runtime
.bss.prev_buttons.0,1,0x2001f19c,prev_buttons.0,main.c.obj,RAM-bss,runtime
.bss.raw_sd_hdd_enabled,1,0x2001f19d,raw_sd_hdd_enabled,disk.c.obj,RAM-bss,runtime
.bss.reboot_required,1,0x2001f19e,reboot_required,diskui.c.obj,RAM-bss,runtime
.bss.reg,1,0x2001f19f,reg,cpu.c.obj,RAM-bss,runtime
.bss.repeat_key,1,0x2001f1a0,repeat_key,hid_app.c.obj,RAM-bss,runtime
.bss.reptype,1,0x2001f1a1,reptype,cpu.c.obj,RAM-bss,runtime
.bss.required_to_repair_text_pal,1,0x2001f1a2,required_to_repair_text_pal,libvideo_driver.a(hdmi.c.obj),RAM-bss,runtime
.bss.restart_requested,1,0x2001f1a3,restart_requested,settingsui.c.obj,RAM-bss,runtime
